HFIZA111A A M1 1 1 46.403 1.664 0.022 0.089 14 0.0063 BAB
HFIZA112A A M1 1 1 43.300 1.594 0.025 0.094 14 0.0067 BAB
HFIZA113A A M1 1 1 43.323 1.324 0.023 0.099 14 0.0071 BAB
HFIZA114A A M1 1 1 43.633 1.423 0.024 0.101 14 0.0072 BAB
HFIZA115A A M1 1 1 41.892 1.419 0.022 0.101 14 0.0072 BAB
HFIZA212A A M2 1 2 39.235 1.424 0.025 0.097 14 0.0069 HGM
HFIZA213A A M2 1 2 40.716 1.395 0.024 0.101 14 0.0072 BGM
HFIZA214A A M2 1 2 41.630 1.255 0.022 0.103 14 0.0074 HGM
HFIZB112A B M1 2 1 38.789 1.419 0.022 0.098 14 0.0070 BGM
HFIZB113A B M1 2 1 40.581 1.408 0.025 0.102 14 0.0073 BGM
HFIZB114A B M1 2 1 38.857 1.249 0.020 0.103 14 0.0073 BGM
HFIZB213A B M2 2 2 40.340 1.378 0.023 0.102 14 0.0073 HGM
HFIZB214A B M2 2 2 41.291 1.419 0.026 0.101 14 0.0072 HGM
HFIZB215A B M2 2 2 40.150 1.379 0.022 0.100 14 0.0072 HGM
HFIZC112A C M1 3 1 40.681 1.352 0.022 0.099 14 0.0071 HGM
HFIZC113A C M1 3 1 40.902 1.411 0.023 0.103 14 0.0074 HGM
HFIZC114A C M1 3 1 41.630 1.387 0.025 0.104 14 0.0074 HAT
HFIZC213A C M2 3 2 41.218 1.465 0.025 0.103 14 0.0073 HAB
HFIZC214A C M2 3 2 43.627 1.386 0.027 0.103 14 0.0074 BGM
HFIZC215A C M2 3 2 40.524 1.422 0.023 0.102 14 0.0073 BAT
