HFIUA111A A M1 1 1 9.972 1.350 0.075 11 0.0068 LAT
HFIUA112A A M1 1 1 10.801 1.263 0.083 11 0.0076 LWT
HFIUA113A A M1 1 1 8.514 1.271 0.083 11 0.0075 LGM
HFIUA114A A M1 1 1 9.987 1.262 0.081 11 0.0074 LAB
HFIUA115A A M1 1 1 10.145 1.262 0.082 11 0.0074 LAT
HFIUA212A A M2 1 2 9.127 1.276 0.082 11 0.0075 LGM
HFIUA213A A M2 1 2 9.942 1.214 0.082 11 0.0075 LGM
HFIUA214A A M2 1 2 9.195 1.268 0.081 11 0.0073 LGM
HFIUB112A B M1 2 1 8.853 1.269 0.079 11 0.0072 LGM
HFIUB113A B M1 2 1 8.946 1.270 0.080 11 0.0072 LWB
HFIUB114A B M1 2 1 9.246 1.282 0.078 11 0.0071 LWB
HFIUB212A B M2 2 2 7.397 1.295 0.080 11 0.0073 LGM
HFIUB213A B M2 2 2 7.967 1.307 0.079 11 0.0072 LAB
HFIUB214A B M2 2 2 8.132 1.315 0.078 11 0.0071 LAT
HFIUC111A C M1 3 1 9.860 1.359 0.078 11 0.0071 LGM
HFIUC112A C M1 3 1 8.791 1.333 0.080 11 0.0073 LAT
HFIUC113A C M1 3 1 10.109 1.348 0.080 11 0.0072 LAT
HFIUC211A C M2 3 2 8.929 1.401 0.075 11 0.0068 LGM
HFIUC212A C M2 3 2 10.430 1.307 0.081 11 0.0074 LGM
HFIUC213A C M2 3 2 9.381 1.307 0.080 11 0.0073 LAT
