HFILA112A A M1 1 1 20.248 0.352 0.095 14 0.0068 18.993
HFILA113A A M1 1 1 19.799 0.366 0.101 14 0.0072 19.839
HFILA114A A M1 1 1 19.957 0.372 0.103 14 0.0074 20.439
HFILA213A A M2 1 2 20.235 0.360 0.093 14 0.0067 18.742
HFILB111A B M1 2 1 20.667 0.423 0.108 14 0.0077 22.099
HFILB112A B M1 2 1 20.777 0.335 0.109 14 0.0078 22.429
HFILB113A B M1 2 1 20.230 0.310 0.108 14 0.0077 21.618
HFILB212A B M2 2 2 20.534 0.335 0.089 14 0.0064 18.188
HFILB213A B M2 2 2 20.256 0.310 0.093 14 0.0066 18.702
HFILC111A C M1 3 1 20.888 0.332 0.088 14 0.0063 18.325
HFILC112A C M1 3 1 20.446 0.369 0.096 14 0.0069 19.526
HFILC113A C M1 3 1 20.737 0.393 0.102 14 0.0073 20.898
HFILC211A C M2 3 2 20.745 0.358 0.094 14 0.0067 19.445
HFILC212A C M2 3 2 20.430 0.365 0.100 14 0.0071 20.221
HFILC213A C M2 3 2 20.658 0.365 0.103 14 0.0074 21.088
