HFINA113A A M1 1 1 12.855 7.481 0.652 0.089 12 0.0074
HFINA114A A M1 1 1 12.939 7.603 0.663 0.088 12 0.0073
HFINA212A A M2 1 2 13.228 7.585 0.653 0.089 12 0.0074
HFINA213A A M2 1 2 13.121 7.589 0.662 0.088 12 0.0073
HFINB111A B M1 2 1 13.259 8.117 0.735 0.082 12 0.0068
HFINB112A B M1 2 1 13.092 7.672 0.674 0.088 12 0.0073
HFINB113A B M1 2 1 13.405 7.776 0.680 0.088 12 0.0073
HFINB213A B M2 2 2 13.197 7.686 0.678 0.088 12 0.0073
HFINC112A C M1 3 1 13.407 7.977 0.684 0.088 12 0.0073
HFINC211A C M2 3 2 13.609 7.755 0.669 0.089 12 0.0074
HFINC212A C M2 3 2 13.200 7.741 0.681 0.088 12 0.0073
HFINC214A C M2 3 2 13.387 7.591 0.660 0.087 12 0.0073
